==77496== NVPROF is profiling process 77496, command: ./flounder
CUDA init took 2.973308 seconds
num faces 1133760, BLOCK_SIZE 256
refinement took 1.225407 seconds
==77496== Profiling application: ./flounder
==77496== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 39.25%  390.43ms        24  16.268ms  39.296us  79.247ms  compute_fes_0(rgraph, rgraph, graph)
 25.74%  256.09ms        48  5.3351ms  24.288us  33.567ms  graph_rgraph_transit_1(graph, graph, rgraph)
 21.17%  210.61ms        48  4.3877ms  18.528us  31.232ms  graph_rgraph_transit_0(graph_spec, graph, rgraph)
  4.76%  47.357ms        72  657.74us  4.2560us  5.0875ms  rgraph_invert_1(graph, ints, rgraph)
  1.25%  12.400ms        72  172.22us  3.5840us  1.5360ms  rgraph_invert_0(graph_spec, rgraph)
  0.83%  8.2092ms        24  342.05us  7.0400us  1.6451ms  gen_size_field_0(ss, rgraph, xs)
  0.80%  7.9667ms        24  331.94us  4.0960us  1.6070ms  compute_areas_0(ss, xs, rgraph)
  0.61%  6.0537ms        24  252.24us  13.792us  903.76us  compute_split_quals_0(ss, ints, rgraph, graph, rgraph, xs)
  0.58%  5.7206ms        90  63.561us  13.023us  163.77us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=128, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=9>, unsigned long=128>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::scan_detail::exclusive_downsweep, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::device_ptr<int>, thrust::system::cuda::detail::aligned_decomposition<long>, thrust::detail::normal_iterator<thrust::pointer<int, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, thrust::device_ptr<int>, thrust::plus<int>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=9)
  0.52%  5.1916ms        24  216.32us  7.0720us  968.53us  graph_bridge_1(rgraph, ints, graph)
  0.49%  4.8889ms        24  203.71us  4.9600us  970.13us  mark_split_faces_0(ints, ints, rgraph)
  0.46%  4.5306ms        47  96.396us  5.5360us  408.79us  compute_best_indset_1(ints, ints, ints, graph, ss)
  0.46%  4.5266ms        24  188.61us  10.783us  676.47us  split_faces_1(rgraph, ints, ints, rgraph, ints, ints, rgraph, graph, int)
  0.38%  3.7984ms        24  158.27us  3.9040us  802.90us  mark_fes_0(ints, graph, ints)
  0.37%  3.6700ms       192  19.114us  8.3200us  91.646us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=128, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=7>, unsigned long=128>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::reduce_detail::reduce_partitions, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::device_ptr<int>, thrust::system::cuda::detail::aligned_decomposition<long>, thrust::detail::normal_iterator<thrust::pointer<int, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, int, thrust::maximum<int>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=7)
  0.33%  3.2546ms       216  15.067us  7.8400us  50.175us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=128, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=7>, unsigned long=128>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::reduce_detail::reduce_partitions, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::device_ptr<int>, thrust::system::cuda::detail::aligned_decomposition<long>, thrust::detail::normal_iterator<thrust::pointer<int, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, int, thrust::plus<int>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=7)
  0.25%  2.4471ms        90  27.189us  10.368us  57.503us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=128, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=9>, unsigned long=128>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::scan_detail::accumulate_tiles, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::device_ptr<int>, thrust::system::cuda::detail::aligned_decomposition<long>, thrust::detail::normal_iterator<thrust::pointer<int, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, thrust::plus<int>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=9)
  0.24%  2.4049ms       126  19.086us  12.607us  64.127us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=512, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=3>, unsigned long=512>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::scan_detail::exclusive_scan_n, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::device_ptr<int>, long, thrust::device_ptr<int>, int, thrust::plus<int>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=3)
  0.19%  1.9305ms        24  80.438us  5.0880us  366.94us  graph_bridge_0(ints, graph)
